state,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23
Bogota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Boyaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caqueta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casanare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cundinamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guainia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaviare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Guajira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magdalena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Meta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norte de Santander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putumayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quindio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risaralda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Andres y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sucre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valle del Cauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Vaupes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vichada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
