date,confirmed,confirmed_daily,deaths,deaths_daily,recovered,recovered_daily
2020-03-05,0,0,0,0,0,0
2020-03-06,1,1,0,0,0,0
2020-03-07,1,0,0,0,0,0
2020-03-08,2,1,0,0,0,0
2020-03-09,3,1,0,0,0,0
2020-03-10,3,0,0,0,0,0
2020-03-11,9,6,0,0,0,0
2020-03-12,9,0,0,0,0,0
2020-03-13,16,7,0,0,0,0
2020-03-14,24,8,0,0,0,0
2020-03-15,45,21,0,0,0,0
2020-03-16,57,12,0,0,0,0
2020-03-17,75,18,0,0,1,1
2020-03-18,102,27,0,0,1,0
2020-03-19,128,26,0,0,1,0
2020-03-20,158,30,0,0,1,0
2020-03-21,210,52,0,0,3,2
2020-03-22,235,25,2,2,3,0
2020-03-23,306,71,3,1,6,3
